2018-09-22 00:00:00+00:00,4.6,160,17.7,-0.4,23.8,8.7,0.03,0.019,0.018,0.001,0.3,760.3333333
2018-09-22 01:00:00+00:00,2,145,16.8,-0.4,26.9,7.8,0.029,0.014,0.014,0,0.27,723.5833333
2018-09-22 02:00:00+00:00,3.5,148,15.9,-0.4,29,8.7,0.025,0.016,0.015,0,0.23,589.8
2018-09-22 03:00:00+00:00,1.9,147,15.2,-0.4,31.3,9.3,0.025,0.013,0.012,0.001,0.21,547.8135593
2018-09-22 04:00:00+00:00,2.6,158,14.2,-0.5,31.5,8,0.025,0.345,0.182,0.163,0.15,664.0333333
2018-09-22 05:00:00+00:00,1.8,138,14.5,-0.4,31.9,8.7,0.021,0.021,0.018,0.003,0.24,745.05
2018-09-22 06:00:00+00:00,1.6,138,14.1,-0.4,33.8,10.7,0.013,0.031,0.025,0.006,0.35,915.2033898
2018-09-22 07:00:00+00:00,1.7,153,16.6,-0.3,32.3,15.2,0.014,0.044,0.028,0.016,0.55,648.4333333
2018-09-22 08:00:00+00:00,1.4,140,21.1,-0.3,27.2,27,0.032,0.025,0.019,0.007,0.49,668.3833333
2018-09-22 09:00:00+00:00,2.3,39,24.8,-0.5,22.3,19.1,0.046,0.016,0.013,0.003,0.33,700.6166667
2018-09-22 10:00:00+00:00,5.8,166,27.7,-0.4,16.2,19.1,0.058,0.008,0.007,0.001,0.22,710.6833333
2018-09-22 11:00:00+00:00,12,185,28.7,-0.5,12.6,5.5,0.057,0.002,0.002,0,0.08,692.4833333
2018-09-22 12:00:00+00:00,11.9,176,29.5,-0.5,12.4,5.4,0.058,0.004,0.003,0.001,0.09,747.4166667
2018-09-22 13:00:00+00:00,10.5,178,30.4,-0.4,12.4,5,0.06,0.003,0.003,0.001,0.07,867.6833333
2018-09-22 14:00:00+00:00,10.3,178,30.8,-0.5,11.2,4.9,0.061,0.003,0.003,0.001,0.07,987.9666667
2018-09-22 15:00:00+00:00,10.7,160,30.6,-0.4,14.1,4.2,0.058,0.004,0.003,0.001,0.06,924.6333333
2018-09-22 16:00:00+00:00,7.8,200,31.1,-0.4,11.4,3.5,0.057,0.003,0.003,0,0.05,804.0666667
2018-09-22 17:00:00+00:00,3.7,222,30.4,-0.4,11.2,3.6,0.053,0.006,0.005,0,0.09,677.9666667
2018-09-22 18:00:00+00:00,1.2,82,27.7,-0.3,17.8,5.4,0.034,0.023,0.021,0.001,0.33,595.7
2018-09-22 19:00:00+00:00,1,130,24.4,-0.3,28.4,7.1,0.02,0.029,0.028,0.002,0.37,602.0166667
2018-09-22 20:00:00+00:00,1.8,111,23.1,-0.3,29.3,7,0.021,0.025,0.023,0.002,0.35,662.4666667
2018-09-22 21:00:00+00:00,2.7,119,22.3,-0.4,28.6,4.9,0.028,0.016,0.015,0.001,0.22,724.3166667
2018-09-22 22:00:00+00:00,3.2,124,22.6,-0.3,28.5,5.3,0.026,0.019,0.017,0.001,0.22,768.5333333
2018-09-22 23:00:00+00:00,1.7,97,20.6,-0.4,33.6,5.6,0.022,0.017,0.016,0.001,0.17,855.9666667
2018-09-23 00:00:00+00:00,2.9,121,21,-0.3,29.6,5.1,0.024,0.016,0.014,0.002,0.14,793.2666667
2018-09-23 01:00:00+00:00,4.9,167,24.1,-0.4,22,3.9,0.041,0.003,0.003,0,0.06,806.45
2018-09-23 02:00:00+00:00,1.4,72,21.1,-0.4,28.7,4.5,0.031,0.006,0.006,0,0.08,973.5666667
2018-09-23 03:00:00+00:00,1.5,96,19.2,-0.3,33.4,4.7,0.028,0.006,0.005,0,0.06,970.6779661
2018-09-23 04:00:00+00:00,2.3,86,20.2,-0.2,31.2,4.5,0.03,0.263,0.01,0.253,0.05,809.4833333
2018-09-23 05:00:00+00:00,1.4,97,17.8,-0.4,38.2,5.9,0.024,0.008,0.007,0,0.08,835
2018-09-23 06:00:00+00:00,1.6,118,16.7,-0.4,42.7,5.8,0.019,0.014,0.012,0.002,0.13,873.6
2018-09-23 07:00:00+00:00,1.9,109,19.9,-0.4,35,5,0.027,0.011,0.009,0.002,0.11,833.8305085
2018-09-23 08:00:00+00:00,1.1,68,24.2,-0.4,29.8,5,0.033,0.009,0.007,0.002,0.12,680.8166667
2018-09-23 09:00:00+00:00,7,172,26.2,-0.3,24.5,4.2,0.042,0.005,0.004,0.001,0.07,779.4666667
2018-09-23 10:00:00+00:00,10,187,27.4,-0.5,23.2,4.8,0.045,0.002,0.002,0.001,0.04,811.3
2018-09-23 11:00:00+00:00,9.7,183,28.5,-0.3,21,5,0.047,0.002,0.002,0.001,0.04,793.8666667
2018-09-23 12:00:00+00:00,6.6,228,28.4,-0.4,20.3,3.8,0.046,0.003,0.003,0.001,0.05,858.6949153
2018-09-23 13:00:00+00:00,6.9,316,27.9,-0.2,18.7,2.7,0.042,0.002,0.002,0,0.03,911.5517241
2018-09-23 14:00:00+00:00,5.5,346,27.3,-0.3,21,3.1,0.041,0.002,0.002,0,0.04,922.8
2018-09-23 15:00:00+00:00,5,356,27.2,-0.3,21,3.7,0.042,0.002,0.002,0,0.06,960.45
2018-09-23 16:00:00+00:00,4.4,352,26.7,-0.3,19.4,3.6,0.044,0.003,0.002,0,0.08,838.1166667
2018-09-23 17:00:00+00:00,2.9,338,25.7,-0.2,16,4.4,0.044,0.004,0.004,0,0.08,759.4833333
2018-09-23 18:00:00+00:00,2.5,155,25.1,-0.2,16.9,5.2,0.037,0.013,0.012,0.001,0.19,769
2018-09-23 19:00:00+00:00,5.4,141,24.4,-0.3,22,5.3,0.038,0.011,0.01,0.001,0.16,749.5166667
2018-09-23 20:00:00+00:00,1.3,38,22.7,-0.4,26.6,4.7,0.032,0.012,0.012,0,0.17,790.5166667
2018-09-23 21:00:00+00:00,3.1,297,21.2,-0.2,28.8,6.3,0.032,0.011,0.01,0,0.13,824.65
2018-09-23 22:00:00+00:00,2.5,269,19.1,0.1,34.6,9.4,0.031,0.008,0.008,0,0.11,827.5
2018-09-23 23:00:00+00:00,2.7,161,17.7,0.1,34.5,9.5,0.027,0.011,0.011,0,0.12,781.1333333
2018-09-24 00:00:00+00:00,2.6,129,16.6,-0.3,38.5,8.6,0.027,0.01,0.009,0,0.11,681.5833333
2018-09-24 01:00:00+00:00,1.7,139,16.3,-0.3,41.6,8.9,0.027,0.008,0.007,0,0.1,691.6666667
2018-09-24 02:00:00+00:00,0.9,103,14.6,-0.4,45.2,9.1,0.021,0.01,0.009,0,0.09,692.6166667
2018-09-24 03:00:00+00:00,0.7,78,13.4,-0.4,47.8,8.9,0.018,0.013,0.012,0,0.09,842.5833333
2018-09-24 04:00:00+00:00,1.5,119,12.3,-0.4,50,8,0.019,0.013,0.011,0.002,3.02,751.3559322
2018-09-24 05:00:00+00:00,1.6,128,12,-0.4,49.6,8.3,0.014,0.023,0.017,0.006,0.25,779.5333333
2018-09-24 06:00:00+00:00,1.3,109,11.8,-0.3,49.4,9.8,0.008,0.034,0.025,0.009,0.39,790.8666667
2018-09-24 07:00:00+00:00,1.8,118,13.8,-0.3,43.7,10.2,0.014,0.038,0.023,0.014,0.4,779.6
2018-09-24 08:00:00+00:00,2,161,16.3,-0.2,43,10.1,0.021,0.029,0.017,0.011,0.29,793.6
2018-09-24 09:00:00+00:00,2.6,248,18.4,-0.2,37.8,10.5,0.028,0.021,0.014,0.008,0.19,865.5172414
2018-09-24 10:00:00+00:00,5.9,311,19.4,-0.2,31,6.9,0.039,0.012,0.009,0.004,0.11,892.95
2018-09-24 11:00:00+00:00,5.9,312,20.2,-0.3,25.6,5,0.046,0.004,0.003,0.001,0.07,873.3833333
2018-09-24 12:00:00+00:00,6.1,324,21.3,-0.3,26.1,4.7,0.049,0.003,0.002,0.001,0.06,922.5
2018-09-24 13:00:00+00:00,7.5,325,21.7,-0.3,23.1,4.5,0.048,0.003,0.002,0.001,0.07,1027.716667
2018-09-24 14:00:00+00:00,7.6,330,21.9,-0.2,21.3,4.7,0.049,0.003,0.002,0.001,0.08,1002.05
